iter	Passed	Remaining
1549	19631	5699
1550	19647	5687
1551	19656	5674
1552	19669	5661
1553	19680	5648
1554	19689	5634
1555	19702	5622
1556	19713	5609
1557	19729	5597
1558	19736	5582
1559	19752	5571
1560	19765	5558
1561	19771	5544
1562	19784	5531
1563	19791	5517
1564	19803	5504
1565	19815	5491
1566	19826	5478
1567	19840	5466
1568	19849	5452
1569	19862	5440
1570	19877	5428
1571	19889	5415
1572	19905	5403
1573	19917	5390
1574	19922	5375
1575	19937	5363
1576	19939	5348
1577	19947	5334
1578	19962	5322
1579	19977	5310
1580	19990	5297
1581	20001	5284
1582	20016	5272
1583	20024	5258
1584	20035	5245
1585	20051	5234
1586	20064	5221
1587	20077	5208
1588	20088	5196
1589	20101	5183
1590	20116	5171
1591	20132	5159
1592	20144	5146
1593	20158	5134
1594	20170	5121
1595	20183	5109
1596	20196	5096
1597	20205	5082
1598	20219	5070
1599	20227	5056
1600	20239	5043
1601	20250	5030
1602	20265	5018
1603	20276	5005
1604	20283	4991
1605	20298	4979
1606	20313	4967
1607	20329	4955
1608	20340	4942
1609	20355	4930
1610	20361	4916
1611	20376	4904
1612	20389	4892
1613	20390	4876
1614	20403	4863
1615	20416	4851
1616	20423	4837
1617	20438	4825
1618	20449	4812
1619	20464	4800
1620	20473	4786
1621	20488	4774
1622	20501	4762
1623	20516	4750
1624	20532	4738
1625	20548	4726
1626	20563	4714
1627	20572	4700
1628	20576	4686
1629	20590	4674
1630	20603	4661
1631	20618	4649
1632	20629	4636
1633	20637	4622
1634	20650	4609
1635	20661	4597
1636	20677	4585
1637	20686	4571
1638	20699	4559
1639	20712	4546
1640	20724	4533
1641	20740	4521
1642	20754	4509
1643	20765	4496
1644	20774	4483
1645	20782	4469
1646	20795	4457
1647	20810	4445
1648	20811	4429
1649	20821	4416
1650	20830	4403
1651	20844	4390
1652	20859	4378
1653	20873	4366
1654	20881	4352
1655	20893	4340
1656	20907	4327
1657	20921	4315
1658	20937	4303
1659	20948	4290
1660	20961	4278
1661	20972	4265
1662	20985	4252
1663	21039	4248
1664	21060	4237
1665	21074	4225
